CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2013,010100000000,County of Albany,County,Albany,12/31,Bond,216650428,0,37054320,17832294,,235872454,30-APR-20
2013,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,36308320,0,,36308320,,0,30-APR-20
2013,010100000000,County of Albany,County,Albany,12/31,Tax Anticipation Note,13500000,0,10900000,13500000,,10900000,30-APR-20
2013,010201000000,City of Albany,City,Albany,12/31,Bond,112243122,-5635295,9890000,13967827,,102530000,30-APR-20
2013,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,20520000,0,12258000,12091915,,20686085,30-APR-20
2013,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,1333405,0,,474222,,859183,30-APR-20
2013,010209000000,City of Cohoes,City,Albany,12/31,Bond,10416295,0,5188060,4825936,,10778419,30-APR-20
2013,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,1555550,,,1555550,,0,30-APR-20
2013,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,61461.48,0,,47218.66,,14242.82,30-APR-20
2013,010260000000,City of Watervliet,City,Albany,12/31,Bond,7954000,0,,720000,,7234000,30-APR-20
2013,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,660000,0,,165000,,495000,30-APR-20
2013,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,405260.38,-4711.41,1728792.94,64669.91,,2064672,30-APR-20
2013,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,16040000,0,1000000,1040000,,16000000,30-APR-20
2013,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,3475500,0,1898000,344182,,5029318,30-APR-20
2013,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,450465.93,-208.51,,35349.87,,414907.55,30-APR-20
2013,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,1245000,0,,321000,,924000,30-APR-20
2013,010318000000,Town of Coeymans,Town,Albany,12/31,Installment Purchase Contract,442.25,0,,442.25,,0,30-APR-20
2013,010318700000,Town of Colonie,Town,Albany,12/31,Bond,85211500,-100,,6651400,,78560000,30-APR-20
