COUNTY,Population
Kings,2600747
Queens,2298513
New York,1632480
Suffolk,1487901
Bronx,1437872
Nassau,1356564
Westchester,968815
Erie,919866
Monroe,744248
Richmond,474101
Onondaga,464242
Orange,378227
Rockland,323686
Albany,307426
Dutchess,293894
Oneida,230782
Saratoga,227377
Niagara,211704
Broome,194402
Ulster,179303
Rensselaer,159431
Schenectady,154883
Chautauqua,129656
Oswego,119104
Jefferson,114448
St. Lawrence,109558
Ontario,109472
Tompkins,102962
Putnam,99070
Steuben,96927
Wayne,90856
Chemung,85740
Clinton,80794
Cayuga,77868
Cattaraugus,77686
Sullivan,75211
Madison,71359
Warren,64480
Livingston,63907
Herkimer,62505
Washington,61828
Columbia,60919
Otsego,60244
Genesee,58112
Fulton,53743
Franklin,50692
Montgomery,49426
Tioga,49045
Chenango,48348
Cortland,48123
Greene,47617
Allegany,47025
Delaware,45502
Orleans,41175
Wyoming,40565
Essex,37751
Seneca,34612
Schoharie,31364
Lewis,26719
Yates,25009
Schuyler,17992
Hamilton,4575
